CO_FRAC_RA,Paraguay,Bolivia,Brasil,Peru,Colombia
3_19_3,11,5,2,17,3
3_19_4,24,2,7,18,6
3_19_5,24,8,1,88,0
3_19_6,12,5,0,34,1
3_19_7,11,17,5,89,6
3_19_8,34,11,2,16,7
3_19_9,11,11,1,51,2
3_2_1,8,5,3,7,4
3_2_10,13,8,1,20,5
3_2_11,13,4,0,30,5
3_2_12,15,3,2,101,2
3_2_2,8,10,9,21,0
3_2_3,17,5,2,16,9
3_2_4,11,7,5,23,2
3_2_5,7,17,6,94,3
3_2_6,19,33,2,170,0
3_2_7,12,16,4,76,5
3_2_8,18,12,2,71,5
3_2_9,19,4,10,61,9
3_20_1,6,1,1,25,4
3_20_10,9,5,1,12,0
3_20_11,2,2,1,7,1
3_20_2,16,6,3,48,4
3_20_3,16,1,3,22,1
3_20_4,7,1,1,29,7
3_20_5,6,9,2,11,4
3_20_6,20,7,0,4,0
3_20_7,25,14,14,9,7
3_20_8,18,6,1,66,5
3_20_9,30,7,1,37,6
3_21_1,23,1,4,19,3
3_21_10,15,11,6,43,1
3_21_2,17,3,2,19,2
3_21_3,15,2,2,1,4
3_21_4,15,9,7,15,0
3_21_5,41,2,0,22,1
3_21_6,20,5,4,23,0
3_21_7,10,6,2,7,1
3_21_8,22,1,7,12,9
3_21_9,1,5,1,9,0
3_22_1,23,4,6,22,4
3_22_2,29,10,4,22,2
3_22_3,28,2,1,45,0
3_22_4,18,6,2,35,0
3_22_5,14,9,2,19,3
3_22_6,26,6,6,29,2
3_22_7,23,4,0,31,1
3_22_8,10,10,4,17,3
3_22_9,20,12,2,53,0
3_23_1,17,22,4,52,1
3_23_10,24,6,0,44,3
3_23_2,24,10,1,28,3
3_23_3,24,2,3,6,0
3_23_4,8,1,0,9,2
3_23_5,4,4,0,20,2
3_23_6,14,12,0,70,2
3_23_7,13,5,1,7,0
3_23_8,15,13,1,83,3
3_23_9,18,7,1,114,0
3_24_1,14,3,2,11,0
3_24_2,30,34,3,43,1
3_24_3,4,2,2,15,0
3_24_4,32,3,0,43,3
3_24_5,11,0,1,4,1
3_24_6,67,17,3,52,2
3_24_7,13,4,0,11,2
3_24_8,20,2,1,56,0
3_24_9,9,4,1,4,3
3_25_1,19,6,1,5,2
3_25_2,22,27,0,58,1
3_25_3,34,26,1,10,0
3_25_4,9,11,0,15,1
3_25_5,12,2,0,28,2
3_25_6,30,8,4,48,9
3_25_7,16,4,1,15,4
3_25_8,44,17,4,74,21
3_25_9,21,3,2,38,1
3_26_1,20,2,3,7,4
3_26_2,17,3,0,69,4
3_26_3,10,11,3,28,1
3_26_4,1,1,1,7,1
3_26_5,11,33,1,20,0
3_26_6,8,8,0,3,8
3_26_7,17,3,2,14,0
3_26_8,11,9,0,4,4
3_26_9,10,9,2,42,4
3_27_1,7,3,2,10,2
3_27_2,23,15,1,33,0
3_27_3,29,5,0,46,4
3_27_4,12,6,2,49,2
3_27_5,27,15,0,17,2
3_27_6,13,33,0,74,0
3_27_7,15,4,1,34,0
3_3_1,19,3,24,7,6
3_3_10,6,49,7,329,4
3_3_11,48,0,12,48,0
3_3_2,11,5,4,16,9
3_3_3,1,6,6,9,1
3_3_4,5,5,3,29,4
3_3_5,6,4,6,2,7
3_3_6,14,3,3,8,2
3_3_7,11,13,7,43,1
3_3_8,13,37,14,15,5
3_3_9,3,18,3,7,0
3_4_1,7,8,12,13,8
3_4_2,5,3,6,21,1
3_4_3,12,12,4,8,13
3_4_4,10,6,5,130,7
3_4_5,14,28,8,70,1
3_4_6,12,22,4,45,3
3_4_7,13,9,6,77,2
3_4_8,7,51,4,77,6
3_5_1,15,7,19,86,10
3_5_2,19,13,5,19,5
3_5_3,12,3,8,48,5
3_5_4,7,10,9,18,13
3_5_5,9,0,4,6,7
3_5_6,10,4,1,4,5
3_5_7,10,6,6,1,9
3_6_1,18,4,5,45,3
3_6_2,3,2,1,19,3
3_6_3,5,3,4,5,4
3_6_4,15,2,0,5,3
3_6_5,24,12,2,36,16
3_6_6,5,3,0,22,4
3_6_7,10,6,1,42,4
3_7_1,5,5,2,27,0
3_7_2,10,7,6,29,8
3_7_3,14,7,20,30,13
3_7_4,10,5,22,10,9
3_7_5,11,2,2,17,4
3_7_6,12,2,5,5,10
3_7_7,29,5,3,14,10
3_7_8,7,1,0,8,0
3_7_9,13,12,4,49,1
3_8_1,4,7,8,18,12
3_8_10,24,7,1,56,1
3_8_2,4,8,0,43,1
3_8_3,16,6,2,46,1
3_8_4,13,10,0,31,1
3_8_5,14,5,0,27,0
3_8_6,8,2,7,31,3
3_8_7,5,14,0,32,3
3_8_8,11,12,3,81,1
3_8_9,13,18,2,59,2
3_9_1,13,5,0,37,0
3_9_10,16,5,3,98,2
3_9_2,9,5,11,25,1
3_9_3,5,10,5,31,1
3_9_4,14,9,4,122,6
3_9_5,6,3,4,46,0
3_9_6,4,8,3,45,0
3_9_7,20,17,1,105,4
3_9_8,32,8,0,45,3
3_9_9,8,3,4,18,7
4_1_1,30,85,0,42,0
4_1_10,20,26,1,33,0
4_1_11,13,45,0,21,0
4_1_12,4,21,0,16,0
4_1_13,13,28,0,6,0
4_1_14,17,58,0,20,0
4_1_2,22,114,0,55,0
4_1_3,3,105,0,36,0
4_1_4,15,155,0,25,1
4_1_5,13,253,0,27,0
4_1_6,26,220,5,21,0
4_1_7,2,30,0,8,0
4_1_8,18,62,1,28,0
4_1_9,15,28,1,27,0
4_10_1,34,0,0,1,0
4_10_2,843,49,2,137,0
4_10_3,730,10,2,17,0
4_10_4,142,4,0,2,0
4_10_5,381,57,1,12,0
4_10_6,341,14,0,16,0
4_10_7,287,35,1,0,0
4_10_8,995,99,0,16,0
4_10_9,1055,17,0,11,0
4_11_1,22,8,2,8,0
4_11_2,12,1,5,23,0
4_11_3,17,1,0,8,0
4_11_4,9,0,0,0,0
4_11_5,18,7,1,0,0
4_11_6,83,1,1,14,0
4_11_7,158,18,0,108,0
4_11_8,15,2,0,12,0
4_11_9,54,18,0,23,0
4_12_1,32,7,1,36,0
4_12_10,40,20,1,36,2
4_12_11,3,0,1,0,0
4_12_12,10,0,0,2,3
4_12_2,28,5,0,27,0
4_12_3,18,13,0,43,0
4_12_4,30,29,0,43,0
4_12_5,17,2,0,10,0
4_12_6,17,6,0,41,0
4_12_7,16,15,0,4,0
4_12_8,11,2,0,0,0
4_12_9,4,0,0,1,0
4_13_1,8,0,5,0,0
4_13_10,4,0,0,0,0
4_13_11,8,0,1,5,1
4_13_2,5,0,1,7,1
4_13_3,7,0,0,25,0
4_13_4,4,0,0,5,1
4_13_5,7,2,2,0,0
4_13_6,24,10,0,1,0
4_13_7,10,1,1,0,0
4_13_8,7,6,0,0,0
4_13_9,6,0,0,0,0
4_14_1,46,6,0,27,1
4_14_2,29,1,3,27,1
4_14_3,21,9,1,32,7
4_14_4,15,8,3,4,3
4_14_5,5,2,2,6,1
4_14_6,5,0,1,1,0
4_14_7,19,2,0,16,3
4_14_8,41,6,4,27,0
4_14_9,19,10,3,12,17
4_15_1,17,3,2,2,0
4_15_10,10,2,0,5,0
4_15_2,21,4,2,8,3
4_15_3,5,0,1,2,1
4_15_4,5,17,1,0,0
4_15_5,2,1,0,0,0
4_15_6,15,1,0,8,1
4_15_7,6,0,1,1,0
4_15_8,9,0,2,0,0
4_15_9,8,3,3,11,0
4_16_1,1,4,0,7,0
4_16_10,32,7,1,6,1
4_16_2,46,31,5,42,4
4_16_3,18,1,0,23,1
4_16_4,7,1,2,8,0
4_16_5,27,2,3,9,0
4_16_6,8,0,2,1,0
4_16_7,9,1,8,1,0
4_16_8,28,2,0,9,3
4_16_9,50,3,2,36,1
4_17_1,3,0,2,2,0
4_17_10,44,8,2,19,0
4_17_2,14,5,0,6,0
4_17_3,20,8,4,8,0
4_17_4,9,2,1,1,1
4_17_5,5,0,0,0,0
4_17_6,2,1,1,1,6
4_17_7,8,0,2,3,0
4_17_8,79,9,2,41,1
4_17_9,4,0,0,1,1
4_18_1,2,0,14,1,0
4_19_1,31,3,0,33,5
4_19_10,41,4,1,17,0
4_19_2,28,4,1,6,0
4_19_3,69,6,1,13,0
4_19_4,69,4,0,43,0
4_19_5,47,5,0,7,1
4_19_6,76,39,0,79,0
4_19_7,98,11,0,29,0
4_19_8,124,92,0,264,0
4_19_9,95,2,0,136,0
4_2_1,19,14,1,58,0
4_2_10,26,51,3,82,0
4_2_2,16,15,1,19,0
4_2_3,15,41,1,129,1
4_2_4,15,65,1,56,0
4_2_5,32,51,1,49,0
4_2_6,8,23,1,18,0
4_2_7,21,43,4,29,0
4_2_8,8,33,2,12,0
4_2_9,19,15,0,9,0
4_20_1,32,11,0,36,0
4_20_10,65,4,4,15,0
4_20_11,64,3,2,36,0
4_20_12,22,4,3,0,0
4_20_2,36,7,1,10,3
4_20_3,69,17,1,14,0
4_20_4,99,7,0,12,0
4_20_5,29,0,1,48,0
4_20_6,97,9,0,32,0
4_20_7,42,6,1,6,4
4_20_8,58,0,0,11,0
4_20_9,67,4,3,12,0
4_21_1,48,6,1,57,0
4_21_10,105,0,0,11,0
4_21_11,107,6,0,4,2
4_21_12,39,0,1,15,0
4_21_2,134,1,1,30,0
4_21_3,24,2,2,22,0
4_21_4,55,3,1,7,1
4_21_5,55,4,2,26,0
4_21_6,36,8,1,20,0
4_21_7,30,2,0,13,1
4_21_8,105,3,0,25,0
4_21_9,74,1,2,23,0
4_22_1,4,0,1,0,0
4_22_10,4,0,1,0,0
4_22_11,10,2,5,17,6
4_22_12,48,5,2,10,2
4_22_2,12,1,0,27,0
4_22_3,4,0,0,6,0
4_22_4,8,5,1,8,0
4_22_5,14,3,1,13,2
4_22_6,9,2,0,0,1
4_22_7,12,4,0,5,0
4_22_8,50,35,3,3,0
4_22_9,43,4,0,7,0
4_23_1,27,22,1,8,0
4_23_10,26,45,1,31,0
4_23_11,35,25,1,4,1
4_23_12,78,18,0,25,1
4_23_2,36,48,0,5,3
4_23_3,25,36,0,20,0
4_23_4,17,2,1,45,0
4_23_5,9,4,0,17,1
4_23_6,12,2,1,7,1
4_23_7,14,1,0,24,0
4_23_8,21,8,1,6,0
4_23_9,19,2,0,7,0
4_24_1,489,20,0,5,0
4_24_2,710,31,0,21,0
4_24_3,358,51,0,27,0
4_24_4,380,19,1,22,0
4_24_5,589,2,0,7,0
4_24_6,286,11,0,155,0
4_25_1,1198,220,2,159,0
4_25_2,594,130,0,285,3
4_25_3,898,324,8,534,0
4_25_4,811,227,1,129,0
4_26_1,40,41,1,11,0
4_26_2,61,10,0,1,0
4_26_3,30,37,0,88,0
4_3_1,16,24,1,16,0
4_3_10,10,61,2,19,1
4_3_11,13,50,0,10,0
4_3_12,12,100,0,53,0
4_3_13,5,34,0,15,0
4_3_2,11,61,0,35,3
4_3_3,2,27,2,21,3
4_3_4,11,85,0,42,0
4_3_5,17,55,0,9,1
4_3_6,25,57,1,21,2
4_3_7,12,17,4,24,0
4_3_8,14,47,0,23,1
4_3_9,12,29,1,27,0
4_4_1,11,31,2,16,0
4_4_10,20,32,3,41,0
4_4_11,31,53,0,26,0
4_4_2,2,3,0,4,0
4_4_3,15,8,1,6,0
4_4_4,12,25,1,45,1
4_4_5,30,6,0,17,1
4_4_6,4,40,3,39,0
4_4_7,23,24,1,42,0
4_4_8,6,30,1,37,1
4_4_9,7,27,0,30,0
4_5_1,13,31,1,4,0
4_5_10,24,29,2,70,6
4_5_11,24,21,1,19,1
4_5_2,20,21,1,19,0
4_5_3,9,4,4,13,1
4_5_4,31,36,2,17,0
4_5_5,7,6,2,5,0
4_5_6,10,16,2,12,1
4_5_7,19,21,3,41,0
4_5_8,42,33,2,21,0
4_5_9,66,62,0,483,0
4_6_1,15,3,1,20,0
4_6_10,18,30,1,3,1
4_6_11,2,9,2,7,4
4_6_2,13,10,1,7,0
4_6_3,9,12,0,29,0
4_6_4,14,11,0,38,0
4_6_5,22,16,2,38,0
4_6_6,13,2,0,23,0
4_6_7,17,10,1,33,0
4_6_8,6,45,0,28,0
4_6_9,9,7,2,4,1
4_7_1,16,13,4,32,0
4_7_10,4,2,1,4,0
4_7_11,71,25,2,22,2
4_7_12,23,16,2,74,0
4_7_2,12,11,1,13,1
4_7_3,56,16,1,96,0
4_7_4,27,7,6,36,7
4_7_5,27,7,0,8,0
4_7_6,24,41,0,31,1
4_7_7,11,29,2,16,0
4_7_8,15,4,0,6,0
4_7_9,20,3,2,14,2
4_8_1,15,14,1,9,1
4_8_10,27,50,0,46,0
4_8_11,21,24,0,60,0
4_8_2,6,17,1,6,0
4_8_3,5,13,1,12,1
4_8_4,15,16,2,32,0
4_8_5,3,5,3,2,0
4_8_6,9,31,1,25,0
4_8_7,62,53,2,686,4
4_8_8,16,26,0,20,0
4_8_9,24,42,1,85,4
4_9_1,183,122,0,162,0
4_9_2,11,16,0,18,1
4_9_3,6,9,0,17,0
4_9_4,24,23,3,18,0
4_9_5,19,4,0,6,0
4_9_6,20,5,2,10,0
4_9_7,23,1,0,7,0
5_1_1,7,4,1,3,6
5_1_10,8,3,3,2,6
5_1_2,13,2,1,11,6
5_1_3,28,0,2,27,6
5_1_4,8,2,1,15,5
5_1_5,10,0,4,19,6
5_1_6,5,0,2,21,6
5_1_7,7,1,1,5,2
5_1_8,13,1,1,5,4
5_1_9,8,6,1,4,8
5_10_1,19,5,1,5,5
5_10_10,3,10,1,16,10
5_10_2,16,1,5,9,13
5_10_3,3,9,0,36,0
5_10_4,7,5,3,9,5
5_10_5,19,18,1,11,0
5_10_6,13,14,1,62,1
5_10_7,10,4,1,3,2
5_10_8,8,1,1,7,6
5_10_9,3,2,3,46,2
5_11_1,11,18,4,14,2
5_11_10,22,4,2,11,3
5_11_2,15,2,2,48,1
5_11_3,3,1,0,4,3
5_11_4,4,1,0,15,0
5_11_5,11,6,6,10,1
5_11_6,5,2,6,11,3
5_11_7,21,2,3,33,0
5_11_8,7,2,1,57,2
5_11_9,16,14,2,63,6
5_12_1,11,10,2,24,0
5_12_2,12,5,3,14,10
5_12_3,12,2,0,4,1
5_12_4,17,1,3,3,4
5_12_5,3,1,0,6,3
5_12_6,15,9,4,5,9
5_12_7,9,9,0,18,0
5_13_1,7,2,3,6,1
5_13_2,5,1,1,5,1
5_13_3,10,3,2,2,0
5_13_4,9,7,2,9,1
5_13_5,6,2,3,24,3
5_13_6,9,6,4,24,0
5_13_7,16,3,1,9,3
5_13_8,1,3,3,2,4
5_13_9,5,0,8,11,1
5_14_1,4,0,0,2,4
5_14_2,10,1,0,40,4
5_14_3,10,11,3,16,3
5_14_4,15,7,1,5,3
5_14_5,15,10,2,24,5
5_14_6,2,4,4,4,6
5_14_7,3,4,3,10,1
5_14_8,6,1,0,66,3
5_14_9,12,4,2,60,10
5_15_1,20,2,4,29,7
5_15_2,17,8,1,4,12
5_15_3,4,1,0,16,2
5_15_4,21,5,1,7,3
5_15_5,14,6,1,3,0
5_15_6,15,10,0,40,3
5_15_7,19,2,0,24,0
5_15_8,32,19,1,36,1
5_15_9,6,3,0,26,0
5_16_1,30,5,3,10,1
5_16_10,21,15,0,33,0
5_16_11,17,8,4,8,1
5_16_2,8,6,0,6,0
5_16_3,11,8,5,18,1
5_16_4,32,9,0,54,0
5_16_5,5,1,5,15,5
5_16_6,22,7,3,26,0
5_16_7,26,12,3,35,0
5_16_8,17,19,0,62,1
5_16_9,14,7,0,25,26
5_17_1,11,5,0,10,0
5_17_10,8,2,2,19,1
5_17_11,14,0,3,2,7
5_17_2,13,4,0,32,2
5_17_3,28,4,3,6,1
5_17_4,16,2,1,7,0
5_17_5,2,0,2,2,2
5_17_6,2,3,3,3,4
5_17_7,4,3,0,8,1
5_17_8,14,4,0,12,0
5_17_9,6,0,1,2,1
5_18_1,15,8,0,3,4
5_18_10,20,30,0,20,1
5_18_11,5,0,0,6,0
5_18_2,17,1,2,6,3
5_18_3,10,9,0,11,2
5_18_4,8,1,1,15,0
5_18_5,16,2,1,10,0
5_18_6,9,0,0,18,0
5_18_7,16,0,3,5,0
5_18_8,22,0,0,3,0
5_18_9,22,2,0,5,0
5_19_1,12,8,0,11,3
5_19_10,10,2,1,16,2
5_19_11,11,1,2,25,3
5_19_2,10,7,1,6,2
5_19_3,16,7,3,24,1
5_19_4,8,10,2,19,2
5_19_5,23,16,0,15,0
5_19_6,11,6,0,13,5
5_19_7,5,6,1,9,0
5_19_8,12,1,0,22,4
5_19_9,5,4,0,3,0
5_2_1,23,7,4,13,23
5_2_10,10,8,2,39,4
5_2_11,14,2,2,16,5
5_2_2,6,5,0,11,5
5_2_3,5,3,0,4,8
5_2_4,15,3,5,24,9
5_2_5,11,2,1,16,1
5_2_6,13,4,3,73,3
5_2_7,14,3,8,35,7
5_2_8,14,2,7,18,10
5_2_9,12,9,1,69,14
5_20_1,10,9,2,31,0
5_20_10,39,24,0,30,0
5_20_11,33,6,3,17,1
5_20_12,22,13,0,33,0
5_20_2,31,10,2,20,1
5_20_3,31,30,2,43,1
5_20_4,9,19,0,33,3
5_20_5,12,3,0,15,1
5_20_6,16,8,4,28,1
5_20_7,27,23,0,38,0
5_20_8,14,37,2,36,12
5_20_9,10,7,3,13,0
5_21_1,10,7,0,8,0
5_21_10,2,9,1,17,0
5_21_11,4,3,1,11,2
5_21_2,32,29,0,4,3
5_21_3,8,5,1,2,0
5_21_4,18,11,4,13,5
5_21_5,4,2,0,5,1
5_21_6,9,4,1,4,1
5_21_7,9,12,1,5,0
5_21_8,7,2,1,28,0
5_21_9,12,7,1,2,2
5_22_1,4,15,0,5,1
5_22_10,16,15,0,42,1
5_22_11,20,51,0,29,0
5_22_12,20,19,2,32,0
5_22_13,2,20,0,13,1
5_22_2,10,5,2,22,3
5_22_3,21,2,0,4,0
5_22_4,10,0,0,9,0
5_22_5,20,29,1,34,0
5_22_6,19,10,0,35,0
5_22_7,31,23,2,44,5
5_22_8,5,7,2,14,0
5_22_9,23,31,1,6,4
5_3_1,19,4,1,19,4
5_3_10,10,15,4,15,0
5_3_11,23,3,3,44,8
5_3_2,33,7,4,136,6
5_3_3,15,8,1,63,0
5_3_4,13,9,1,35,21
5_3_5,8,2,0,26,17
5_3_6,9,0,2,4,2
5_3_7,9,4,6,11,1
5_3_8,1,0,2,4,2
5_3_9,9,9,2,17,4
5_4_1,10,2,4,14,1
5_4_2,5,5,3,10,4
5_4_3,13,5,3,49,9
5_4_4,11,1,0,16,2
5_4_5,8,3,5,8,2
5_4_6,7,5,9,12,2
5_4_7,2,1,1,6,1
5_4_8,11,5,2,25,6
5_4_9,28,2,3,69,3
5_5_1,8,0,2,2,4
5_5_2,17,2,0,21,0
5_5_3,10,0,1,8,0
5_5_4,13,5,0,9,0
5_5_5,8,2,0,9,0
5_5_6,11,4,1,1,7
5_5_7,21,2,4,16,4
5_5_8,12,0,0,15,1
5_6_1,6,6,0,0,0
5_6_2,7,7,3,6,3
5_6_3,17,6,3,8,1
5_6_4,12,2,6,17,3
5_6_5,15,3,1,19,0
5_6_6,21,2,4,4,1
5_6_7,27,0,2,34,1
5_6_8,5,1,2,9,1
5_7_1,16,6,4,9,8
5_7_2,13,1,0,41,6
5_7_3,6,11,1,7,6
5_7_4,19,8,2,17,5
5_7_5,35,14,7,43,6
5_7_6,9,1,1,30,4
5_7_7,18,6,3,19,4
5_7_8,11,7,1,55,0
5_8_1,25,3,12,19,0
5_8_2,14,1,17,7,1
5_8_3,25,13,5,42,8
5_8_4,16,8,2,16,2
5_8_5,11,1,0,10,0
5_8_6,13,2,2,10,1
5_8_7,10,1,5,8,37
5_8_8,16,3,0,36,0
5_8_9,6,1,1,2,0
5_9_1,17,1,6,9,7
5_9_10,34,17,0,38,0
5_9_2,3,0,1,3,0
5_9_3,6,1,0,7,3
5_9_4,9,4,2,7,0
5_9_5,7,8,1,6,2
5_9_6,9,1,1,19,0
5_9_7,11,7,0,8,0
5_9_8,6,1,0,13,1
5_9_9,17,9,1,8,5
6_1_1,11,7,5,14,0
6_1_10,2,6,0,12,3
6_1_11,4,1,2,5,0
6_1_12,17,6,2,7,1
6_1_2,15,5,3,8,2
6_1_3,4,4,2,40,3
6_1_4,7,8,2,9,1
6_1_5,10,12,2,7,3
6_1_6,11,3,1,8,0
6_1_7,12,8,0,3,0
6_1_8,11,7,2,45,3
6_1_9,12,6,4,9,1
6_10_1,11,3,1,3,1
6_10_10,8,4,2,8,1
6_10_2,4,4,1,5,1
6_10_3,9,1,0,5,0
6_10_4,7,9,0,40,5
6_10_5,10,1,2,7,5
6_10_6,13,2,3,27,0
6_10_7,5,6,2,7,4
6_10_8,10,4,1,10,3
6_10_9,10,2,1,0,1
6_11_1,11,14,1,9,1
6_11_10,14,0,0,0,0
6_11_2,5,4,0,2,3
6_11_3,6,4,0,1,0
6_11_4,6,2,2,4,0
6_11_5,1,3,2,1,3
6_11_6,12,0,1,8,0
6_11_7,14,1,2,6,1
6_11_8,9,0,0,4,0
6_11_9,6,1,0,3,1
6_12_1,0,5,1,0,3
6_12_10,5,2,0,2,0
6_12_11,5,4,2,9,4
6_12_12,7,3,3,19,1
6_12_2,11,14,4,23,0
6_12_3,7,2,2,2,0
6_12_4,4,0,1,1,0
6_12_5,7,13,3,9,0
6_12_6,9,3,0,1,0
6_12_7,12,6,1,7,1
6_12_8,7,1,3,4,4
6_12_9,10,8,6,3,2
6_13_1,3,5,2,1,0
6_13_2,8,2,7,9,4
6_13_3,17,2,2,17,1
6_13_4,21,15,3,9,0
6_13_5,16,0,1,7,0
6_13_6,2,0,3,0,0
6_13_7,17,0,2,4,1
6_13_8,29,25,5,5,1
6_13_9,17,1,3,1,1
6_14_1,5,1,20,6,0
6_14_10,10,6,3,3,3
6_14_2,8,3,3,5,0
6_14_3,19,5,3,8,1
6_14_4,4,2,1,8,3
6_14_5,10,0,1,9,4
6_14_6,27,2,2,13,3
6_14_7,8,2,1,6,0
6_14_8,10,0,2,0,0
6_14_9,8,0,5,1,0
6_15_1,6,3,1,3,0
6_15_10,5,0,2,1,2
6_15_2,14,0,1,12,0
6_15_3,8,0,1,11,0
6_15_4,4,1,0,2,0
6_15_5,8,0,0,2,1
6_15_6,10,2,2,0,0
6_15_7,9,4,3,8,1
6_15_8,15,5,3,27,3
6_15_9,5,0,1,4,0
6_16_1,5,1,0,3,5
6_16_10,6,2,4,20,1
6_16_11,13,2,1,19,0
6_16_2,3,7,3,6,5
6_16_3,9,3,0,9,0
6_16_4,3,3,0,0,3
6_16_5,8,4,1,1,3
6_16_6,9,0,1,6,0
6_16_7,16,0,5,2,1
6_16_8,18,2,3,14,3
6_16_9,10,4,2,2,0
6_17_1,7,5,1,11,1
6_17_2,7,2,3,0,0
6_17_3,10,2,0,17,1
6_17_4,9,0,3,2,0
6_17_5,10,7,6,30,2
6_17_6,10,1,3,5,0
6_17_7,2,7,0,0,1
6_18_1,5,4,1,7,0
